a,95969
b,24894
c,30239
d,36810
e,100372
f,16695
g,25096
h,26833
i,58984
j,4605
k,23602
l,50893
m,32501
n,46827
o,70173
p,32797
q,1952
r,63468
s,98541
t,49910
u,39408
v,10784
w,15174
x,4389
y,32313
z,6772
